year,movie,actor,dialogue,englishDialogue
1973,Abhimaan,Amitabh Bachchan,Pehle main akela tha ... aur ab bilkul akela hoon,First I was alone ... and now I am completely alone
1973,Abhimaan,Jaya Bhaduri Bachchan,Jab geet swayam ke liye gaya jaata hai ... toh sangeet ho jaata hai,When a song is sung for self ... it becomes music
1973,Heera Panna,Zeenat Aman,"Pyar bhagwan hai ... lekin saath yeh bhi kahoongi, ki pyar mein joh shaadi na kare ... woh shaitan hai","Love is god ... but along with that I'll say that, the one who doesn't get married in love ... is a devil"
1973,Heera Panna,Dev Anand,Bhagwan ne insaan ko banaya hi aaise hai ki jab tak woh zinda hai ... usse jhoot aur lobh aur moh se koi mukti nahi,God has made a human such that until he is alive ... he won't get freedom from lies and greed and fascination
1973,Heera Panna,Zeenat Aman,Main pyar karoongi toh sirf ek hi aadmi se ... aur agar mujhe utna hi pyar vapas nahi milega toh tukde tukde ho jaongi andar hi andar,If I fall in love then I'll only love that one person ... and if I don't get the same amount of love back then I'll break into pieces from the inside
1973,Ghulam Begam Badshah,Moushumi Chatterjee,Kunwari ladki ek patang ki tarah hoti hai ... joh shaadi se pehle apni marzi se khuli hawa mein idhar udhar udhti phirti hai ... lekin phir kismat ki patang se pech ladta hai ... aur woh katkar apne pati ki aangan mein aa girti hai,An unmarried girl is like a kite ... who before marriage flies here and there as she wishes in the open air ... but then she battles with the kite of destiny ... and then she gets cut off and falls into the courtyard of her husband
1973,Ghulam Begam Badshah,Anil Dhawan,Chaand suraj apni jagah se hat sakte hai ... lekin Thakur apne vaade se nahi palat sakta,The moon and the sun can move from their place ... but a Thakur can never change from his promise
1973,Ghulam Begam Badshah,Moushumi Chatterjee,Ladki ki maang tab khoobsurat hoti hai ... jab uska pati us mein sindoor bhar deta hai,The hair parting of a girl looks good ... when her husband fills vermilion in it
1973,Ghulam Begam Badshah,Anil Dhawan,Pyar ek aaisi khushboo hai joh chupaye nahi chupti,Love is a fragrance that cannot be hidden even if you want to
1973,Ghulam Begam Badshah,Moushumi Chatterjee,Karele jaisi soorat aur jalebi ke sapne,Your face is like bitter melon and you dream for sweets
1973,Keemat,Ranjeet,Humne koi dharam khata nahi khol rakha hai ... hum jab kuch deta hai toh uske badle mein kuch leta bhi hai,I haven't opened an free account in the name of religion ... when I give something then I take something in exchange for that
1973,Keemat,Prem Chopra,Tum aur tumhare dost is waqt meri hukumat mein ho ... aur yahan par meri ijazat ke baigar ek patta bhi nahi hil sakta,Right now you and your friends are under my rule ... and here without my permission not even a leaf can move
1973,Keemat,Dharmendra,Tumhari building ko police ne charon taraf se gher rakha hai ... aur agar main do minute ke andar andar yahan se bahar nahi gaya ... toh tumhari aur is building ki dhajjiyan udaa di jayengi,The police has surrounded your building from all four sides ... and if I don't go out in the next two minutes from here ... then you and your building will be blown into pieces
1973,Blackmail,Dharmendra,Chahe mujhe zindagi bhar tumhe talaash karna padhe ... main tumhe dhoondunga zaroor ... aur phir joh tumhara haal karoonga ... usse dekhkar tumhare farishtey bhi kaanp uthenge,Even if I have to search for you throughout my life ... I'll definitely find you ... and then the condition that I'll do of yours ... seeing that even your angels will get scared
1973,Blackmail,Madan Puri,Jee toh janwar bhi lete hai ... lekin insaan ussi ko kehte hai joh samajhdari se jee sake,Even an animal lives on ... but the one who lives sensibly is called a human
1973,Blackmail,Madan Puri,"Khoj ek nasha hai, ek ishq hai ... jis mein khoj karne waala khoya rehta hai","Discovery is an intoxication, it is love ... in which the person doing the discovery is lost"
1973,Blackmail,Madan Puri,Taqatwar se taqatwar insaan bhi kuch ghadiyon mein kamzor se kamzor ho jaata hai,In some moments of time even the strongest of the person can become the weakest of all
1973,Blackmail,Shatrughan Sinha,Badle badle mere sarkar nazar aate hai ... aur mujhko barbaadi ke aasaar nazar aate hai,My love looks very different ... and I see the symptoms of destruction
1973,Blackmail,Shatrughan Sinha,Mohabbat ek kaanta hai joh bas chukar toot jaye ... mohabbat ki bas itni dastaan hai,Love is a thorn that touches and breaks ... this is the story of love
1973,Loafer (1973),Om Prakash,Hindustani jab desi peeta hai toh angrezi bolta hai,When an Indian drinks local alcohol then he talks in English
1973,Loafer (1973),Prem Nath,Pratap ke haath itne lambe hai ... ke tujhe jahanum se bhi ghaseet laaye,The hands of Pratap are so long ... that they will pull you from hell also
1973,Loafer (1973),Dharmendra,Yeh duniya bahut badi hai ... apna shikaar khud maarna seekho,This world is very big ... learn to kill your own prey
1973,Loafer (1973),Dharmendra,Main rupaiya ginkar kabhi nahi rakhta,I never count and keep the money
1973,Loafer (1973),Prem Nath,Is kamine ki haddiyon ka toh main soorma banaonga,I will crush the bones of this sneaky person
1973,Loafer (1973),Dharmendra,Main tum se bhi zyada oonchi awaaz mein bol sakta hoon,I can talk in a voice louder than yours
1973,Loafer (1973),Dharmendra,Yeh galat nahi hai ... yeh haqeeqat hai,This is not wrong ... this is reality
1974,36 Ghante,Raaj Kumar,Is duniya mein kabhi kabhi insaan itna majboor ho jaata hai ... sivah iske ke woh apne aapko kismat ke havale karde ... aur kuch nahi kar sakta,In this world sometimes a person becomes so helpless that ... other than surrendering himself to destiny ... he can't do anything else
1974,36 Ghante,Sunil Dutt,Jinki zindagi maut ki chaon mein guzri ho ... woh maut se kahan darte hai,Those who have spent their life in the shadow of death ... are not scared of death
1973,Namak Haraam,Rajesh Khanna,"Nadiya se dariya, dariya se sagar, sagar se gehra hai jaam ... jaam mein doob gayi hai yaaron, mere jeevan ki har shyam","From the river to the sea, from the sea to the ocean, my drink is deeper than the ocean ... and my friends, every evening of my life is drowned in the drink"
1973,Namak Haraam,Rajesh Khanna,Baarish ki boondon se darne waale toofan ka muqabla nahi kar sakte,You can't fight the storm if you are scared of rain drops
1973,Namak Haraam,Raza Murad,Jeene ki aarzoo mein marre ja rahe hai log ... marne ki aarzoo mein jeeye ja raha hoon main,People are dying in the hopes of living ... and I am living in the hope of dying
1973,Namak Haraam,Raza Murad,De jaam ya gham de humko ... sharaab bhi pee jaati hai aur aasoon bhi peeye jaate hai,Give me a drink or sadness ... because one can drink alcohol and tears also
1973,Namak Haraam,Rajesh Khanna,Akal se sirf nakshe ban sakte hai ... imaaratein nahi,Brains can only make blueprints ... not buildings
1973,Namak Haraam,Raza Murad,"Footpath har sadak hi hai aashiyan hamara ... rehne ko ghar nahi hai, sara jahan hamara","The footpath and the road are my dwelling ... I don't have a house to live in, so the whole world is mine"
1973,Namak Haraam,Raza Murad,"Jigar ki chot hai aye dost, dauraahi nahi jaati ... lapat hai aag ki, hoton pe phir laayi nahi jaati",My friend the wound on the heart should not be repeated ... and flames of fire should never be bought on the lips again
1973,Namak Haraam,Rajesh Khanna,Jis din ek mazdoor kaam pe nahi jaata ... uske ghar par chula nahi balki uska pet jalta hai,"The day when a laborer doesn't go to work ... that day the stove in his house doesn't burn, instead his stomach does"
1973,Namak Haraam,Rajesh Khanna,Jahan yaar nahi wahan pyar nahi ... jahan pyar nahi wahan yaar nahi,Where there is no friend there is no love ... where there is no love there is no friend
1973,Namak Haraam,Simi Garewal,Aaj ke samaaj mein imaandar hokar koi bhi crorepati nahi ho sakta,In today's society no one can become a millionaire by being honest
1973,Namak Haraam,Amitabh Bachchan,Hum mein khilane waale haath abhi pehda nahi hue,The hands that can feed me have not yet been born
1973,Yaadon Ki Baaraat,Ajit Khan,Shakaal jab baazi khelta hai ... toh jitne patte uske haath mein hote hai ... utne hi uski aasteen mein,When Shakaal plays a bet ... then the number of cards he has in his hands ... the same number of cards he has in his sleeve
1973,Yaadon Ki Baaraat,Vijay Arora,Jab dil bahut kuch kehne ko chahe aur zubaan saath na de ... toh yeh mohabbat ki pehli seedi hoti hai,When the heart wants to say a lot and the words don't give support ... then that is the first step to love
